parent_video_id,id,media_items,video_count,author_name,comment_count,spam_score,engagement,sentiment,text,day_of_week,themes,platform,author_pic_url,max_exp,media_count,content_id,authenticity_scale,tag,author_id_str,country_code,authenticity_scale_percent,image_count,nodes,subject,author_id,date,lang,like_count,content_type,content_url,is_spam,share_count,author_screen_name,author_url,sentiment_name
,ZmVlZGJhY2s6ODU3NDc3MDM1NzQ2Nzky,[],0,Syed Hasnat - سيد حسنات,44,0.0018492341041564900,2091,-0.43793,"The Palestinian resistance announced the outset of Al-Aqsa Storm Operation on Saturday morning, launching more than 7,000 homemade rockets towards the illegal Israeli settlements in the 1948-occupied territories in response to Israel’s atrocities against Jerusalem’s Al-Aqsa Mosque and the Palestinian people.At least 198 Palestinians have been killed and over 1600 injured in ongoing Israeli airstrikes on the Gaza Strip. #islam #faith #hadees #hadeessharif #hadeesoftheday #muslimforpeace #palestine #rasoolallah #israel #quran #muslimquotes #sunnah #allah #palestine🇵🇸 #freepalestine #israelterrorist #israel🇮🇱 #alhamdulillah #hijabi #pray #islamic #jannah #hijab #muslims #islamicreminder #muslimmemes #muslimah #deen #youthclub",7,"['news_&_social_concern', 'arts_&_culture']",FB,https://cyabra-web-assets.s3.us-east-2.amazonaws.com/default_profile_normal.png,61681.41592920350,0,ZmVlZGJhY2s6ODU3NDc3MDM1NzQ2Nzky,0.5,UNCHECKED_PROFILE,100044535095194,Missing Value,50.0,0,,"['#islam #faith #hadees #hadeessharif #hadeesoftheday #muslimforpeace', '1600', 'Al-Aqsa Mosque', 'Al-Aqsa Storm Operation', 'At least 198 Palestinians', 'Israel', 'Israeli', 'Jerusalem', 'Palestinian', 'Saturday', 'more than 7,000', 'morning', 'the Gaza Strip']",100044535095194,2023-10-07 15:03:24+00:00,en,1721,post,https://www.facebook.com/857477035746792,FALSE,326,None,https://www.facebook.com/100044535095194,neg
,ZmVlZGJhY2s6NjUyNDIzOTgwMzIzNjIy,[],0,বাংলাদেশ ইসলামী ছাত্রশিবির,68,0.007773995399475100,1620,0,"আল-আকসা অপারেশন আপডেট: 

এতদিন ফিলিস্তিনের ভেতরে ইসরায়েলী দখলদাররা অভিযান চালালেও আজকে সরাসরি ইসরায়েলের দখল করা ভূমিতে প্রবেশ করে অভিযান পরিচালনা করছে ফিলিস্তিনী প্রতিরোধ যোদ্ধারা।

#FreePalestine #IsraeliTerrorism",7,Missing Value,FB,https://cyabra-web-assets.s3.us-east-2.amazonaws.com/default_profile_normal.png,47787.61061946900,0,ZmVlZGJhY2s6NjUyNDIzOTgwMzIzNjIy,0.5,UNCHECKED_PROFILE,100066680771296,Missing Value,50.0,0,,,100066680771296,2023-10-07 16:57:52+00:00,bn,1463,post,https://www.facebook.com/652423980323622,FALSE,89,None,https://www.facebook.com/100066680771296,net
,ZmVlZGJhY2s6Njc2OTI2NjY5NjQ0Mjk2OQ==,[],0,Niaz Abdullah,42,0.08939868211746220,442,0,"സയണിസ്റ്റ് ഭരണകൂടം നടത്തിവരുന്ന അധിനിവേശ ഭീകരതയ്ക്കെതിരെ പോർമുഖം തുറന്നിരിക്കുകയാണ് ഫലസ്തീനിലെ ചെറുത്തുനിൽപ്പ് പ്രസ്ഥാനമായ ഹമാസ്. ഇന്ന് രാവിലെ മുതൽ ഗസ്സയിൽനിന്ന് 5000ത്തിലേറെ റോക്കറ്റുകൾ ഇസ്രായിലേക്ക് തൊടുത്തു വിട്ടതായി ഹമാസ് അവകാശപ്പെടുന്നു. ഡസനിലേറെ ഹമാസ് പോരാളികൾ ഇസ്രായേലിലേക്ക് നുഴഞ്ഞു കയറിയെന്നത് സയണിസ്റ്റ് സൈന്യം സ്ഥിരീകരിച്ചിട്ടുണ്ട്. സൈനിക കമാൻഡർ നിമ്രോദ് അലോനിയും ഐ ഡി എഫ് ഭടന്മാരും ഉൾപ്പെടെ 35 ഇസ്രായേലികൾ ഹമാസിന്റെ പിടിയിലായി. ഒന്നിലേറെ ഇസ്രായേലി ടാങ്കുകൾ നശിപ്പിക്കപ്പെട്ടു. ഞെട്ടി വിറച്ച സയണിസ്റ്റ് ഭരണകൂടം ഗസ്സക്കെതിരെ ബോംബ് വർഷം ആരംഭി ച്ചെങ്കിലും നെതന്യാഹുവും കൂട്ടരും കരുതിയതിനും അപ്പുറത്താണ് കാര്യങ്ങൾ.

ജറുസലമിലെ അൽ അഖ്സ പള്ളിയുടെ പവിത്രത നശിപ്പിക്കുന്നതും ഫലസ്തീനി തടവുകാരോട് അനുവർത്തിക്കുന്ന ക്രൂരതകളും ഉൾപ്പെടെ ഇസ്രായേൽ നടത്തിക്കൊണ്ടിരിക്കുന്ന അതിക്രമങ്ങൾക്കുള്ള മറുപടിയാണ് 'ഓപ്പറേഷൻ അൽ അഖ്സ ഫ്ലഡ് ' എന്നാണ് ഹമാസിന്റെ മിലിറ്ററി കമാൻഡർ മുഹമ്മദ് ദെയിഫ് പ്രഖ്യാപിച്ചിരിക്കുന്നത്.

തുല്യതയില്ലാത്ത ക്രൂരതകളാണ് പലസ്തീനികളോട് ഇസ്രായേലി ഭരണകൂടം ചെയ്തു കൂട്ടുന്നത്. കുടിവെള്ളം, മലിനമാക്കുക, കൃഷി ആവശ്യങ്ങൾക്കുള്ള ചെറു ജല സംഭരണികൾ കോൺക്രീറ്റ് ഇട്ടു മൂടുക തുടങ്ങി അന്താരാഷ്ട്ര മാധ്യമങ്ങൾ റിപ്പോർട്ട് ചെയ്യാത്ത സംഭവങ്ങൾ നിരവധി. വെസ്റ്റ് ബാങ്കിലെ ഹിബ്രോണിനു സമീപത്തെ അൽ ഹിജ്‌റ ഗ്രാമത്തിൽ ഈയ്യിടെ നടന്ന ഇത്തരത്തിലുള്ള ഒരു സംഭവം ഇസ്രായേലിലെ മനുഷ്യവകാശ സംഘടന ബിതിസീലം പുറത്ത് കൊണ്ടുവന്നിരുന്നു.

കഴിഞ്ഞ 17 വർഷമായി ഉപരോധത്തിലാണ് ഗസ്സ. അവിടുത്തെ ജനങ്ങൾക്ക് ഉപജീവനമാർഗത്തിന് പോകാനും ചികിത്സ ലഭ്യമാക്കാനുമൊക്കെ ഇസ്രായേലിന്റെ ഔദാര്യം വേണം. ബോർഡർ ക്രോസിങ്ങുകൾ പല ഘട്ടങ്ങളിലും അടച്ചിടുന്നത് സ്ഥിതിഗതികൾ രൂക്ഷമാക്കുന്നു. സെപ്റ്റംബർ 15ന് ബൈത്ത് ഹനുൻ ക്രോസിംഗ് അടച്ചിട്ടതിനെ തുടർന്ന് 20,000 ത്തോളം തൊഴിലാളികളാണ് ജോലിക്ക് പോകാനാവാതെ കഷ്ടപ്പെട്ടത്. അതേ ദിവസം തന്നെ അബൂ സാലിം ക്രോസിംഗും സെപ്റ്റംബർ 20ന് കൂടുതൽ അതിർത്തികളും അടച്ചിട്ട് ഗസ്സ നിവാസികൾക്ക് കൂട്ട ശിക്ഷ നൽകുകയാണ് സയണിസ്റ്റ് ഭരണകൂടം. പ്രതിഷേധിക്കുന്നവരെ റബ്ബർ ബുള്ളറ്റുകൾ ഉപയോഗിച്ച് പരിക്കേൽപ്പിക്കുന്നതും പതിവായിരിക്കുന്നു. അതിനിടയിൽ ജൂത തീവ്രവാദികൾ അൽ അഖ്സ മസ്ജിദിന്റെ പവിത്രത നശിപ്പിക്കാനുള്ള ശ്രമങ്ങൾ തുടർന്നുകൊണ്ടിരിക്കുന്നു. 
 ഫലസ്തീനികൾ രണ്ടാഴ്ചയായി തുടരുന്ന പ്രതിഷേധത്തിന് താൽക്കാലിക വിരാമമായത് ഖത്തറിന്റെ മാധ്യസ്ഥത്തിൽ നടന്ന ചർച്ചകളെ തുടർന്നാണ്.

മുക്കാൽ നൂറ്റാണ്ടായി ഒരു ജനതയുടെ ജീവിക്കാനുള്ള അവകാശത്തെ പോലും ചോദ്യം ചെയ്യുന്ന ഇസ്രായേലി ഭീകരതയ്ക്കെതിരെ അന്താരാഷ്ട്ര സമൂഹം നിസ്സംഗത പാലിക്കുമ്പോൾ ചെറുത്തുനിൽപ്പ് പോരാളികൾക്ക് ഇതല്ലാതെ മറ്റൊരു മാർഗം ഇല്ല. അന്താരാഷ്ട്ര നിയമം അനുസരിച്ച് അവർക്ക് അതിന് അവകാശവുമുണ്ട്.

#IsraeliTerrorism
#resistzionist
#FreePalestine

പി. കെ. നിയാസ്",7,Missing Value,FB,https://cyabra-web-assets.s3.us-east-2.amazonaws.com/default_profile_normal.png,13038.34808259590,0,ZmVlZGJhY2s6Njc2OTI2NjY5NjQ0Mjk2OQ==,0.01899,REAL_PROFILE,100000791179590,Missing Value,1.899,0,,,100000791179590,2023-10-07 06:52:15+00:00,ml,315,post,https://www.facebook.com/6769266696442969,FALSE,85,None,https://www.facebook.com/100000791179590,net
,ZmVlZGJhY2s6NzEzMTM4MTEwNjY1MzU5,"[{'objects': None, 'media_id': None, 'media_url': 'https://d162n66y7x4l64.cloudfront.net/FB_ZmVlZGJhY2s6NzEzMTM4MTEwNjY1MzU5_387782299_18385266136042606_5996358938188777439.jpg?image-format=webp&image-width=200&Expires=1696948161&Signature=n8Qyoara6sow49XPlZWtJEevXA~7BqCrqyU4tN~7E~NNGPJMN-jlpoLxazOj35eQTu0oj5oGsb6OhkWhPhOyIiM7CRdQzCM-yQnK0o~EMdkrpNhkNKTybdWhsbb6y4VpmnXrqG09QSOT-RlNAoFYN2lcK3V1pa~NctapYrG28LGiuyW-YnXs6u6vbdYHfC4gW~Cl-R1DZDKOA8JITavrt5oftL-PHa7KZitQ6QmXNAlmB1JhZwaeTKaMSlaHZuR5xU-usaHihjs90I7wM4sxB-91RgVN5l4-ldnq7-GB1h4yJoyijG9UVng6LEOAjG~ftZ9JarcHPyZcG-LzH3jrOQ__&Key-Pair-Id=K3JBIXBQ13O74I', 'media_type': None}]",0,Ehab Judeh,14,0.003184378147125240,230,-0.79868,"Palestinian resistance fighters are in control of several towns outside the #Gaza strip, occupied #Palestine the ‘#israeli’ occupation military confirmed.

#AlAqsaFlood

#IsraeliTerrorism 

@onlinepaleng #FreePalestine🇵🇸💚🕊🌎🤲🙏🏽 #ZionismisAntisemitism #EndIsraeliApartheid  #IsraeliApartheid #IsraeliCrimes #endisraelioccupation #EndIsraeliSettlerColonialism #BDS #EndIsraeliImpunity #Palestinians #Canaanites #Canaan #Palestine #Nakba #IfAmericansKnew #ireland #scotland #germany #uk #uae #Gaza #JewishVoiceForPeace #ZionismIsNotJudaism #NormalisationlsCrime",7,['news_&_social_concern'],FB,https://cyabra-web-assets.s3.us-east-2.amazonaws.com/default_profile_normal.png,6784.6607669616500,1,ZmVlZGJhY2s6NzEzMTM4MTEwNjY1MzU5,0.1241,REAL_PROFILE,100059075304146,Missing Value,12.41,1,,"['#AlAqsaFlood', '#EndIsraeliImpunity #Palestinians', '#Palestine', 'the #Gaza strip']",100059075304146,2023-10-07 13:12:10+00:00,und,182,post,https://www.facebook.com/713138110665359,FALSE,34,ehab.judeh,https://www.facebook.com/100059075304146,neg
